title,author,genre,specific_genre,content,source,likes,comments
Lá Thư Trần Thế,Dương Hồ Xuân Sơn,tám chữ,,"Lá thư này con viết chiến trường xa<
>Nơi thư đến là nhà con ở đó<
>Nơi lúa đang trổ bông trên lối nhỏ<
>Nơi làng quê... Mẹ vò võ mong chờ<
>Ngày hoà bình được về ai chẳng mơ<
>Về với Mẹ cho thoả niềm thương nhớ<
>Mẹ biết không, chiến trường đang khói lửa<
>Mảnh đạn bom cày xới cả chiến hào<
>Lá thư này con chưa thể gửi đâu?<
>Bởi nơi đây chiến hào đang ngăn cách<
>Viết thư xong con gấp gọn rồi cất<
>Ngớt đạn bom tiếng pháo sẽ gửi về<
>Con nhớ nhà, nhớ Mẹ, nhớ sông quê<
>Nhớ lối nhỏ từng hẹn thề với... "" Thắm ""!<
>Nhớ em gái con đã yêu nhiều lắm?<
>Hẹn bình yên... sẽ dẫn Thắm đến nhà<
>Lá thư này con viết chiến trường xa<
>Mỗi buổi sáng hát Quốc Ca yêu nước<
>Lá Quốc kỳ là niềm tin, Khế ước<
>Quyết tâm không... lùi bước trước quân thù<
>Sau hoà bình! Con chỉ nói... "" Nếu như ""?<
>Chẳng thấy con trở về từ biên giới<
>Thì Mẹ ơi? còn gì mà mong đợi...<
>Thắp cho con... lên Mộ mới nén "" Tình ""<
>Nếu mai này! con có lỡ hy sinh<
>Con chẳng thể về quê mình thăm "" Thắm ""<
>Mẹ phải nhớ, là con yêu mẹ lắm...<
>Thương Mẹ nhiều... tựa như Thắm nhé ơi?<
>Lá thư này con viết lúc bom rơi<
>Đồng đội con ngã rồi, ra đi mãi...<
>Con nằm mơ, Nam - Bắc liền một dải<
>Muộn mất rồi...<
>Xin nằm lại... phương xa...!!?",https://www.facebook.com/groups/486407735098594/,6,2
Tình Thu,Ngô Dương Hải,bảy chữ,,"Yêu mùa thu đâu phải vì mây trắng<
>Yêu mùa thu... từ khoảng lặng sông trôi<
>Yêu mùa thu vì ánh mắt em tôi<
>Cho tôi biết... bồi hồi rồi tha thiết!<
>Mùa thu ơi... cả trời xanh biêng biếc<
>Bồng bềnh trôi mây biền biệt về đâu<
>Em cho tôi hương yêu thuở ban đầu<
>Cho trong trắng... cho cả màu hoa tím!<
>Tôi yêu em... má bồ quân mới chín<
>Nhẹ nhàng trao thầm kín thuở ban sơ<
>Mùa thu ơi hạnh phúc được đợi chờ<
>Yêu em mãi... mùa thu ơi yêu mãi...!",https://www.facebook.com/groups/486407735098594/,2,1
Lặng,Nghĩa Võ,lục bát,,"Trên con trăng khuyết, dưới sân hoang<
>Soi tỏa bóng mờ ngõ lặng vang<
>Ghế đẩu già nua thầm thì kể<
>Chuyện nhện giăng tơ khói bếp tàn.<
>Sương đêm bao trùm lên mái lá<
>Chim mồi u oán gọi hồn ai?<
>Nhân ảnh dưới trăng còn nửa bóng<
>Nửa bóng khói sương đổ thật dài.<
>Văn lãng.",https://www.facebook.com/groups/486407735098594/,4,0
Thơ về sông của Tạ Thăng Hùng bài 6,Tạ Thăng Hùng,bảy chữ,,"Sông La<
>Em có về cùng với sông La<
>Cho anh gửi trăm nghìn câu thương nhớ<
>Anh đã chờ em mấy mùa mưa gió<
>Lúc trăng mờ trăng tỏ bến sông xa.<
>Nhớ những ngày xưa anh dắt em qua<
>Con sông xanh như màu đôi mắt ấy<
>Em không nói mà lòng anh đã thấy<
>Sóng dâng trào như sóng nước sông La.<
>Sông chảy về từ Ngàn Phố ngân nga<
>Chảy về từ Ngàn Sâu sông xanh đó<
>Những cô gái dịu hiền quê Đức Thọ<
>Tắm nước sông La trắng đẹp lẫy lừng.<
>Xưa mẹ cha thương nhau như muối như gừng<
>Như nước sông La bốn mùa chảy mãi<
>Ta thương nhau như buổi đầu vụng dại<
>Yêu ví dặm quê mình nghĩa nặng tình sâu.<
>Đã bao mùa mưa nắng ngóng tin nhau<
>Gió Lào thổi trắng đôi bờ lau cỏ<
>Chuyến đò chở câu hò bao thương nhớ<
>Có chở tình em về với sông La?<
>Có chở tình em cùng với ánh trăng ngà<
>Cùng với phù sa bên bồi bên lở<
>Một bát chè xanh xóm làng tình nghĩa<
>Tắt lửa, tối đèn, mưa nắng có nhau.<
>Những bãi ngô bát ngát xanh màu<
>Uống nước sông La đợi bàn tay hái<
>Bắp ngô nướng chuyền cho nhau nhớ mãi<
>Thơm một mùa ngày ấy biết yêu thương.<
>Anh vẫn chờ em như sông nước quê hương<
>Đang chờ đợi một cánh buồm màu đỏ<
>Em có về với quê hương không đó<
>Mà trăng vàng lấp lánh nước sông La.",https://www.facebook.com/groups/486407735098594/,2,1
https://youtube.com/shorts/8qL7RTzig1E?is=xpGw9agnmSldDbv1,Thiền Đặng,bảy chữ,,"…NẮNG HẠN HOA TÀN<
>Đã nhiều lần nước mắt ướt trên mi<
>Bởi kỷ niệm còn ôm ghi nỗi nhớ<
>Tôi thấy mình quá mong manh bé nhỏ<
>Ôm nỗi sầu, má ướt khóc chia phôi.<
>Bước đường yêu đã ngược lối mất rồi<
>Hình bóng cũ không mờ đi giây phút<
>Đời con gái luôn ước mong hạnh phúc<
>Vội dễ dàng lạc lối chỉ vì yêu.<
>Tình mong manh như gió sớm nắng chiều<
>Sao hy vọng vẫn dâng cao vời vợi<
>Trái tim ơi! Hãy quên đi đừng đợi<
>Chỉ thêm buồn gợi lại vết thương đau.<
>Chòng thư xưa mực vẫn chưa phai màu<
>Con chim nhỏ chịu cô đơn lẻ bạn<
>Đất nứt khô vì thiếu mưa nắng hạn<
>Giọt lệ tình khô cạn bởi vì yêu.<
>THIỀN ĐẶNG",https://www.facebook.com/groups/486407735098594/,0,0
Hạ Đã Về Chưa,Lang Truong Pham,năm chữ,,"Nắng hạ đã về chưa?<
>Ta nhớ mùa phượng nở.<
>Nhớ môi hồng-rượi đỏ.<
>Nhớ kỷ niệm ngày xưa.<
>Bến vắng buổi trời trưa,<
>Mình hẹn hò-hai đứa.<
>Dưới tàng hoa rực lửa<
>Nằm kể chuyện, vui đùa…!<
>Nắng xuyên kẽ lá thưa<
>Đôi mắt em nheo lại<
>Vờ khen em: đẹp gái.<
>Em lém lỉnh không vừa!<
>Tiếng hát vọng xa đưa<
>(Lời mẹ ru con ngủ)?<
>Bài ca dao rất cũ<
>Nhờ cây quạt vẫy, khua…<
>Nắng hạ đã về chưa?<
>(Ta về cho kịp hẹn)!<
>Thuở nào tình bẽn lẽn<
>Để trôi mất mấy mùa!<
>Những mặn, đắng, cay, chua<
>Từ xa em-nếm đủ.<
>Hôn chưa đầy một nụ<
>Nên thương thiếu, nhớ thừa!<
>Ph. Lăng Trường<
>Hình mượn.",https://www.facebook.com/groups/486407735098594/,3,0
Cô Quạnh,Nghĩa Võ,lục bát,,"Đêm về khuya gió giông lác đác<
>Mưa ngoài hiên lạnh, ướt song thưa<
>Biết đêm dài, cớ chi còn thức?<
>Để cung sầu lấn át tiếng mưa<
>Ngọn đèn hao gầy chàm vạch lá<
>Bóng khói mờ sương khóe mắt cay<
>Ngày gót cũ về miền nắng hắt<
>Sấm gọi mưa sa xuống đất này<
>–VTN–",https://www.facebook.com/groups/486407735098594/,1,0
"Thơ về sông của Tạ Thăng Hùng, bài 5",Tạ Thăng Hùng,bảy chữ,,"Sông Hương<
>Tôi yêu Huế từ ngày chưa đến Huế<
>Yêu dòng Hương hờ hững nước nghiêng trôi<
>Những cô gái, áo dài khoe nắng mới<
>Qua Tràng Tiền nghiêng nón trắng xinh tươi<
>Sông thoang thoảng hương thơm như tên gọi<
>Giữa kinh thành, lơ lửng ánh trăng rơi<
>Như cô gái mái tóc dài vời vợi<
>Sông hiền hoà, uốn lượn chảy muôn nơi<
>Sông như thể gom nụ cười xứ Huế<
>Để khách về nghe sóng hát ngẩn ngơ<
>Tôi mong ước thăm Cố đô tráng lệ<
>Dòng sông Hương mềm mại nối đôi bờ<
>Như dải lụa, dòng sông dài chảy mãi<
>Núi Ngự Bình soi bóng, gió chơi vơi<
>Sông còn giữ buồn, vui bao triều đại<
>Để chuông chùa Thiên Mụ gọi sông ơi<
>Tôi yêu Huế cả bốn mùa mưa nắng<
>Sông dịu dàng, tha thiết giữa cơn mưa<
>Hoa đăng thả dòng Hương thêm lấp lánh<
>Yêu sông Hương xanh biếc mấy cho vừa<
>Tôi mong lại được trở về với Huế<
>Đi trên sông, ngắm xứ Huế yêu kiều<
>Nghe giọng Huế, những câu hò quê mẹ<
>Ôm vào lòng tất cả Huế yêu yêu…",https://www.facebook.com/groups/486407735098594/,2,0
Đào hoa,Nghĩa Võ,thơ tự do,,"Em đừng giận, ghen mà hờn dỗi<
>Đào hoa vốn cốt cách con người<
>Thề non hẹn Biển anh đều thuộc<
>Cầm, kỳ, thi, họa, vài cô thôi<
>–VTN–",https://www.facebook.com/groups/486407735098594/,0,0
"Hoa Nhi Lê xin trân trọng giới thiệu thơ tình yêu nhẹ nhàng,sâu lắng,da diết,lãng mạn,cảm động làm con tim biết bao người rung động. Và cũng nhắc luôn với các bạn là dòng thơ này chủ yếu nói về tình yêu.",Hoa Nhi Lê,thơ tự do,,"Ai đã từng yêu, yêu say đắm hay bị tình phụ, hãy đọc để hiểu rõ tận tường, cảm nhận sâu sắc về tình yêu,về một cuộc tình đã mất, cũng như về những mối tình đang yêu.<
>Trong thơ tình yêu có những điều tiêu diêu, nói về Đạo hạnh,triết học. Trong triết học có bàn về sống chết,linh hồn.<
>Người có Đạo hạnh họ có tinh thần nội tâm vững mạnh nên họ ko cần cầu cạnh ai,cho dù họ biết người ấy có tài.<
>Người có tài thôi thì chưa đủ.Có tài cần có thêm Đức,mới có đủ sức chở ĐẠO.<
>Đạo là thứ mắt nhìn ko thấy, tai nghe ko rõ, tay sờ ko đụng.Chỉ cảm được thôi, còn nếu ngược lại thì Đạo đã mất từ rất rất rất lâu rồi.<
>Đạo khả đạo phi thường đạo<
>Danh khả danh phi thường danh (Lão Tử)<
>Lời giới thiệu nội hàm trong thơ<
>(hình ảnh chỉ để làm cảnh)<
>Sáng tác diễn giải: Hoa Nhi Lê",https://www.facebook.com/groups/486407735098594/,0,0
.,Sơn Dương,lục bát,,".....TU LÀ CỘI PHÚC.....<
>Vốn dĩ sinh trên chốn dương trần<
>Tu là cội Phúc bởi thiện căn<
>Làm lành lánh dữ luôn ghi nhận<
>Thiện ác phân minh hãy nhớ rằng...<
>Gửi gắm trong thơ lòng căn dặn<
>Phật ở trong tâm chẳng xa gần<
>Làm người đạo đức luôn chiến thắng<
>Thoát khỏi u mê bớt nhọc nhằn<
>Thơ nầy điên dại nhưng trong trắng<
>Chẳng phải cao siêu chẳng xuất thần<
>Lời thơ mộc mạc không lẩn thẩn<
>Kẻ trọng người khinh cũng bất cần<
>Cứ để tâm yên hồn phẳng lặng<
>Ngày ngày vui thú với thơ văn<
>Xã hội đảo điên bao lấn cấn<
>Ta vẫn an nhiên với câu vần<
>Chẳng cần hành xác để cực thân<
>Chẳng cần khất thực kiếm miếng ăn<
>Làm đẹp Đạo Đời là chắc chắn...<
>Không thành chánh quả cũng thành nhân.<
>Nam Mô A Di Đà Phật<
>Sơn Dương<
>Mùng 1 tháng tư năm Bính Ngọ",https://www.facebook.com/groups/486407735098594/,2,2
Kính mời quý anh chị và các bạn cùng lắng nghe bài thơ Xuân Buông Tay của tác giả Sa Chi Lệ qua diễn ngâm của Thuyền Thu,Thuyền Thu,lục bát,,"XUÂN BUÔNG TAY<
>Năm mươi năm thèm hương nhang Tết<
>Bên trời lay lắt mòn gọi bên kia<
>Thuyền nghiệt ngã phận đời cơn gió lốc<
>Nuốt sương tan tê tái bóng ma Hời<
>Người dưng đất lạ chân bỡ ngỡ<
>Trĩu năng hành trang bạc tóc đời<
>Còng lưng nỗi nhớ quê bật khóc<
>Ký ức cháy giòn kỷ niệm xưa<
>Đêm qua đánh thức hồn thương tích<
>Khơi dậy một thời nắng thủy tinh<
>Tung tăng hò hẹn sương mai nở<
>Đất hứa nát nhầu mộng thoáng nhanh<
>Ngước mặt nhìn đời sao chóng mặt<
>Tình người rao bán chỉ dăm xu<
>Nghêu ngao bại tướng hề diễn kịch<
>Khán giả thở dài chửi như ru<
>Cô đơn lầm lũi bênh bồng tủi<
>Hy vọng chập chờn dệt cô hương<
>Mắt mờ trắng cõi hoa tuyết phủ<
>Mong mỏi huyền cơ tắt lịm dần<
>Chạnh lòng tiếng nấc đan hè phố<
>Lã chã từng câu nhật ký rơi<
>Trở về hỏi tuổi còn hay mất<
>Mà sao xuân mãi lọt kẽ tay<
>Ngồi bán phong trần xuân rát mặt<
>Chữ nghĩa rung đùi dọn chợ tan<
>Mai em về gửi lời tạ tội<
>Cát bụi này còn nợ quê hương<
>SA CHI LỆ",https://www.facebook.com/groups/486407735098594/,1,0
Phố Về,Binh Thuan Vo Nguyen,lục bát,,"ĐÊM VẮNG<
>BTVN<
>Phố lên đèn khói mờ giăng lối<
>Người chen người chẳng biết về đâu<
>Đèn xe loang ánh qua cầu<
>Nghe đêm rơi xuống một màu chơi vơi.<
>Gió đường phố không lời vẫn thổi<
>Mà lòng ai cứ rối như tơ<
>Giữa ngàn ánh sáng bơ vơ<
>Một mình cũng thấy như chờ một ai.<
>Quán ven đường ly đen còn đắng<
>Khói thuốc bay cay đắng thêm chiều<
>Ồn ào mà hóa cô liêu<
>Giật mình nhớ lại những điều rất xa.<
>Ở đâu đó vườn nhà yên ả<
>Tiếng chim hót gió lạ hiên sau<
>Có người lom khom cúi đầu<
>Tưới từng gốc nhỏ mà sâu nghĩa tình.<
>Thành phố đó sáng xinh mà lạnh<
>Giữ chân người chẳng giữ được tâm<
>Lang thang một chút âm thầm<
>Rồi mai lại hóa người chăm vườn xưa.",https://www.facebook.com/groups/486407735098594/,1,0
"Thơ về sông của Tạ Thăng Hùng, bài 4",Tạ Thăng Hùng,bảy chữ,,"SÔNG HÀU<
>Tôi trở lại con sông Hàu quê mẹ<
>Cứ nao nao bao kỷ niệm ùa về<
>Bãi bờ xưa bơi lội bến sông quê<
>Cùng bè bạn vui đùa trên sóng nước<
>Dòng sông chở tuổi thơ bao mơ ước<
>Mỗi một ngày ta thấy mến yêu thêm<
>Một dòng xanh sóng nhẹ vỗ êm đềm<
>Cơn gió thổi những cánh buồm xuôi ngược<
>Sông đã dạy tôi bơi từ thuở trước<
>Để tôi ra được biển lớn cuộc đời<
>Như mái trường yêu quý dạy cho tôi<
>Biết tha thứ, yêu thương và khát vọng<
>Tôi nhớ mãi chuyến đò chiều xao động<
>Đứng trên bờ mẹ khóc tiễn đưa cha<
>Dáng mẹ nghiêng theo bóng đổ chiều tà<
>Vầng trăng ướt đầm đìa trên vai áo<
>Rồi từ đó mẹ một mình tần tạo<
>Nuôi dạy con và chờ đợi bên sông<
>Tuổi thơ tôi là ngày mẹ trên đồng<
>Bắt tôm cá trên dòng sông tuổi trẻ<
>Nên tôi đã biết yêu từ thuở bé<
>Yêu câu hò vời vợi tiếng quê hương<
>Yêu lời ru, yêu ngày tháng đến trường<
>Yêu ngọn gió từ dòng sông thổi lại<
>Yêu biết mấy những chàng trai cô gái￼<
>Đắp con đê ngăn nước mặn ngập tràn<
>Đắp con đê nắn lại khúc đò ngang<
>Xây bến cảng cho tàu thuyền cập bến<
>Ngày mưa bão nao lòng sông gọi biển<
>Mong thuyền về sông che chở sông ơi<
>Đêm nằm nghe tiếng sóng vỗ bồi hồi<
>Như hơi thở, nhịp tim dòng sông chảy<
>Tôi đã lớn trưởng thành bên sông ấy<
>Dòng sông quê lưu luyến một hồn quê<
>Nên đi xa luôn mong ước trở về<
>Với đồng ruộng với sông Hàu quê mẹ<
>Nay tôi bước bên sông như thuở bé<
>Tung tăng vui ngày hai buổi đến trường<
>Bao lần mơ thấy bóng dáng quê hương<
>Thấy sóng nước sông Hàu trôi lấp lánh<
>Muốn nhảy xuống đắm mình theo dòng nước<
>Bơi bên này sang bờ bãi bên kia<
>Muốn ngược dòng trở lại thuở xa xưa<
>Đêm thao thức tiếng gọi đò vọng lại<
>Rằng chẳng nhớ hết những ngày thơ dại<
>Như sông ơi ta đâu nhớ tuổỉ sông<
>Vẫn chở che qua mưa bão, nắng hồng<
>Sông yêu dấu vì ta mà sông chảy<
>Ta cũng hiểu nỗi buồn vui sông đấy<
>Những lỗi lầm sông rộng lượng thứ tha<
>Sông Hàu ơi, sông Hàu thật hiền hoà<
>Ta xin được cảm ơn nhiều sông nhé...",https://www.facebook.com/groups/486407735098594/,3,1
Bó Hoa Thương Cuối Cùng,Trần Quyết,bảy chữ,,"Cô ấy chia tay tôi. Cô ấy chọn người mới. Cô ấy bỏ rơi tôi rồi.<
>Tôi còn thương nhưng không níu được. Tôi biết rõ rằng người ta chẳng thương gì cô ấy. Nhưng tôi chẳng giữ nổi người muốn rời đi, cũng như không khuyên nổi người muốn đâm đầu vào.<
>Và đúng như những gì đã dự tính trước. Cô ấy đã bị hắn ta làm tổn thương.<
>Vào một ngày bình thường, lúc đi làm về, tôi thấy cô ấy ngồi trên ghế đá. Cô ấy khóc rất nhiều. Tôi không kìm được lòng mà tiến lại gần....<
>Trời sinh em đã có hai con mắt<
>Anh cũng vậy ta chẳng khác gì nhau<
>Em mù quáng chọn yêu kẻ đến sau<
>Lúc đớn đau lại một mình bật khóc.<
>Sau chia tay anh thường hay trằn trọc<
>Đêm khó ngủ nằm khóc nghĩ về em<
>Tự an ủi mình coi như bài học<
>Hứa tương lai nhất định chẳng chung đường.<
>Nhưng em tới làm tim anh lệch hướng<
>Thấy em đau anh lại chẳng kìm được<
>Vẫn bước tới như chính mình ngày trước<
>Lau nước mắt cho chính người mình thương.<
>... Còn tiếp...<
>Full thơ tại:<
>Cảm ơn mn đã ghé đọc.",https://www.facebook.com/groups/486407735098594/,0,0
Cao Thấp.,Trịnh Văn Cạnh,bảy chữ,,"Cao thấp luôn tồn tại ở đời<
>Tranh giành thua được hỡi người ơi<
>Tiền tài địa vị rồi tan biến<
>Gió cuốn mây đưa tận cuối trời.",https://www.facebook.com/groups/486407735098594/,3,0
Âm Vọng,Lang Truong Pham,năm chữ,,"Ta nghe bờ biển sóng<
>Vọng vỗ những thanh âm<
>Của yêu thương, khát vọng,<
>Lời trách cứ… âm thầm.<
>Tiếng trầm rồi tiếng bổng<
>Lay động cõi lòng ta.<
>Dường như ta thấy bóng<
>Em trên bãi cát xa.<
>Nhạt nhoà màu áo trắng<
>Đứng lặng giữa hoàng hôn<
>Ánh mắt nhìn xa vắng<
>Như một kẻ vô hồn.<
>Cô đơn và lạc lõng<
>Em mong nhớ, kiếm tìm…<
>Một chút tình-hy vọng<
>Trỗi dậy ở trong tim.<
>Chìm theo dòng cảm xúc,<
>Lòng ngực nhói cơn đau.<
>Tận cùng của âm vực<
>Là tiếng vọng ngân sâu…!<
>Bạc đầu ta ngoảnh lại,<
>Thấy em vẫn đợi chờ…<
>Em sống đời khờ dại<
>Yêu xa bến cách bờ!<
>Ph. Lăng Trường",https://www.facebook.com/groups/486407735098594/,3,0
Hè Đã Về,Hà Văn Vinh,bảy chữ,,"Hè ơi hè, em đến thật rồi sao<
>Để mang đến sắc hồng trên cành phượng<
>Để mang đến sự chia ly tiếc nuối.<
>Trút nỗi niềm hôm qua vừa trao tay...<
>Cây bảo dừng mà sao gió cứ lay.<
>Để cho lá rụng rơi xa điểm tựa<
>Để cho cành chỉ còn biết lưu luyến.<
>Để cho anh tơ tưởng mối tình si.<
>Người xưa ơi, xin chầm chậm bước đi.<
>Hãy cùng anh bình minh ta đứng ngắm<
>Bên phượng già, hoa kia vẫn tươi thắm.<
>Để giữ lại chút dịu dàng hôm qua.<
>Người xưa ơi, nghe ve hát đồng ca<
>Gợi nhớ lại chút tình xưa từ chối<
>Mà ngày ấy còn thẹn thùng bối rối.<
>Đã chia ly nào biết đến bao giờ.<
>Hè ơi hè, nghe thổn thức hồn thơ!<
>Nghe xào xạc bước chân em vừa tới<
>Giữa phố vắng không còn thấy bối rối?<
>Để anh trao nụ hôn nhẹ lên môi!<
>Anh thầm ước thời gian đừng có trôi.<
>Để cho ta sở hữu làn môi ướt<
>Để cho ta ôn lại lời nguyện ước.<
>Thời gian ơi xin dừng lại đi thôi.<
>Thơ Hà Văn Vinh",https://www.facebook.com/groups/486407735098594/,3,1
Tháng Sáu,Lê Hồng Tuấn,bảy chữ,,"Tháng sáu về cánh phượng vĩ lã lơi<
>Hoa rơi rơi gợi một trời thương nhớ<
>Ve sầu ơi buồn chi mà nức nở<
>Ve ve ve rồi ngủ ở trên cành<
>Mới hôm nào ta tuổi tóc còn xanh<
>Chơi đáo chơi ô đánh cù đánh khẳng<
>Dưới sân trường cứ mỗi độ hạ sang<
>Thời gian trôi lặng lẽ tóc pha sương<
>Nửa đời người về thăm trường xưa ấy<
>Mái trường ơi hè đây yên tĩnh vậy<
>Thương cây phượng hồng đứng đấy bơ vơ<
>Cánh mỏng manh vương trước gió đợi chờ<
>Hoa bằng lăng tim tím màu đo đỏ<
>Góc sân trường ngày ấy gió đong đưa<
>Như đón chào ai thăm lại trường xưa<
>Lớp học đây vừa vắng bạn thầy cô<
>Một bài giảng hãy còn đang dang dở<
>Dâng trong tôi một nỗi niềm nhung nhớ<
>Bục giảng bảng đen ghế bàn còn đó<
>Chỗ ngồi kia bạn cũ đã đâu rồi<
>Đi về đâu nơi ấy có xa xôi?<
>Chỗ ngồi đây vẫn còn đó của tôi<
>Bao nhiêu năm bao thế hệ vẫn ngồi<
>Vẫn tháng ngày nghe thầy cô lên lớp<
>Họ trưởng thành rồi đi tới muôn nơi<
>Tháng sáu ơi lòng dạ cứ chơi vơi<
>Ta nhớ quá một quãng đời đi học<
>Nhớ cô thầy bè bạn nhớ người thân<
>Hạ về rồi cánh phượng đỏ bâng khuâng<
>Ve râm ran một trưa nào oi ả...<
>TP HCM<
>LHT",https://www.facebook.com/groups/486407735098594/,11,11
Viễn Mộng,Nghĩa Võ,bảy chữ,,"Em về đi, xin hãy về đi<
>Luyến lưu viễn mộng có được gì?<
>Vệt nắng chưa tàn – Sao chưa tỏ<
>Vầng trăng khô héo rượu cạn ly<
>Nửa bóng Mây trời say lảo đảo<
>Mắt nhắm mắt mở hồn phiêu du<
>Vật chất bướm hoa nào đâu nghiện<
>Có tội tình chi – phải cầm tù<
>–VTN–",https://www.facebook.com/groups/486407735098594/,2,0
Thơ về sông của Tạ Thăng Hùng bài 3,Tạ Thăng Hùng,bảy chữ,,"Sông Đáy<
>Hôm nay anh về sông Đáy<
>Trời mưa bay phủ kín bến sông<
>Thương bãi bờ chiều trống vắng mênh mông<
>Màu nước đục phù sa mùa gió thổi<
>Những dãy núi, rừng cây xanh mát rượi<
>Năm tháng nghiêng soi bóng xuống dòng sông<
>Cô gái ơi sao em vội lấy chồng<
>Để sông Đáy gọi đò thao thiết mãi<
>Nơi bến đợi nhớ chàng trai cô gái<
>Hẹn hò rồi nói giận mà thương<
>Nay tôi về Kim Bảng vấn vương<
>Bóng núi đổ chân trời xa mây phủ<
>Con đường dốc nhắc ta bao chuyện cũ<
>Thuở học trò trốn mẹ hái đồi sim<
>Bóng chiều buông nghiêng núi mẹ kiếm tìm<
>Cùng cha gọi nao nao bờ sông Đáy<
>Ôi hạnh phúc những ngày xưa đến vậy<
>Dẫu đói nghèo rau cháo vẫn thương nhau<
>Mẹ ruộng vườn, cha bắt cá sông sâu<
>Tiếng sóng vỗ, tiếng cười ru trẻ nhỏ<
>Giờ hai đứa hai phương trời xa nhớ<
>Lời thề xưa gửi sông Đáy lâu rồi<
>Em sang sông, bên lở nhớ bên bồi<
>Theo tiếng gọi tình yêu thương vọng mãi<
>Nên sông cứ xanh màu xanh tình ái<
>Nước trong veo soi tận đáy sông ơi<
>Để ngày xưa cho đến tận ngàn đời<
>Cứ tha thiết gọi sông là sông Đáy<
>Nay trở lại, buồn ơi, buồn biết mấy<
>Sông lững lờ, chắc sông hiểu lòng tôi<
>Xưa bên nhau nghe sóng vỗ bồi hồi<
>Em mơ ước một cánh buồm đỏ thắm<
>Rồi lấy giấy làm con thuyền màu trắng<
>Lấy tình yêu vẽ hạnh phúc căng buồm<
>Dọc đôi bờ đồng lúa chín vàng thơm<
>Và chim hót gọi bầy trong nắng mới<
>Ôi sông Đáy đẹp dịu dàng vời vợi<
>Lung linh soi bóng nước nghiêng trời<
>Nếu cuộc đời cho điều ước em ơi<
>Anh mong lại cùng em về sông Đáy...",https://www.facebook.com/groups/486407735098594/,1,0
Rung rinh,Nghĩa Võ,bảy chữ,,"Xin em đấy, đừng cười tươi thế<
>Dừng ghẹo lòng tôi nữa được không<
>Mưa hối hả, tự nhiên rọi nắng<
>Môi đã chạm đâu, má lại hồng?<
>–VTN–<
>Xin Em đừng đến và đừng đi<
>rung rinh ngọn gió cỏ xanh rì<
>Cửa sổ Tâm hồn từ lâu đóng<
>Nay em ghé lại kéo tôi đi (yêu)",https://www.facebook.com/groups/486407735098594/,0,0
Bến Đợi,Tuan Nguyen Van,tám chữ,,"Chiều một bóng bên bờ sông lạnh vắng<
>Bến sông quê thuyền đang ở nơi đâu?<
>Cảnh chiều buông<
>mưa bụi trắng một màu<
>Trong gió bấc bến buồn vương sương lạnh!<
>Cánh cò nhỏ cô đơn mang hiu quạnh<
>Mang về đâu nỗi nhung nhớ xa xôi?<
>Mắt buồn vương niềm đau xót khôn nguôi<
>Bao chua chát bến sông ngồi trông đợi!<
>Con thuyền nhỏ có biết lòng vời vợi<
>Niềm khát khao giây phút vui tương phùng?<
>Cây phượng già trước<
>gió lạnh run run<
>Mong xuân đến cho cây xanh cành lá!<
>Chờ đợi xuân nắng về xua lạnh giá<
>Để ấm lòng hơi thở nở muôn hoa<
>Để bến sông chim rộn rã hát ca<
>Niềm hạnh phúc thuyền về bên bến đợi!<
>(ảnh sưu tầm trên mạng xh!)DĐR",https://www.facebook.com/groups/486407735098594/,1,0
Ngẫm nhìn thế sự phát sầu trong tâm,Duyduong Duong,lục bát,,"Bao phen được mất âm thầm<
>Buồn vui một thoáng, trăm năm cũng tàn<
>Thôi thì giữ lấy bình an<
>Đừng đem oán hận chất ngàn trong tim.<
>“Mai này tóc bạc da sương<
>Mới hay danh lợi vô thường mà thôi""<
>Dương Hoàng Dương",https://www.facebook.com/groups/486407735098594/,0,0
Nụ Hồng ChiềU Xưa,Ngô Dương Hải,bảy chữ,,"Em đừng hỏi bởi vì anh vẫn nhớ<
>Thuở tháng năm phượng nở lối đi về<
>Muốn tặng em... rồi cả hai mắc cỡ<
>Nghiêng Tháp Rùa tà áo trắng mân mê.<
>Em khẽ bảo... hoa bằng lăng tim tím<
>Là hẹn thề thấm kín của em thôi<
>Em bẽn lẽn má bồ quân thêm chín<
>Ta nguyện thề... rồi sẽ bước song đôi!<
>Ve vẫn ngân... ý chừng như giục giã<
>Mùa thi rồi... ta đôi ngả chia ly<
>Kể từ đó... lật tung trời tháng hạ<
>Anh hiểu rằng... màu hoa kết vu quy!<
>Bao nhiêu hạ lại về... ve khắc khoải<
>Phượng vẫn hồng... hoang hoải cánh hoa bay<
>Bằng lăng tím... hình như hoa vẫn rải<
>Lối đi về... cho khóe mắt người cay.<
>Như gốc Bụt đợi chờ bên lối cũ<
>Anh vẫn thường ấp ủ mối tình xưa<
>Bất chợt thấy... cành hồng đang lớn nụ<
>Anh nhớ rồi... em hẹn... lúc chiều mưa...!",https://www.facebook.com/groups/486407735098594/,5,0
